d15/debugstate/kwl/fan1 Fan1 - M: 36075940, gap: -8, tsf: 645, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan2 Fan2 - M: 36075940, gap: 48, tsf: 226, ssf: 1360, rpm: 1408
d15/debugstate/kwl/fan1 Fan1 - M: 37075940, gap: -6, tsf: 645, ssf: 1230, rpm: 1224
d15/debugstate/kwl/fan2 Fan2 - M: 37075940, gap: 50, tsf: 226, ssf: 1360, rpm: 1410
d15/debugstate/kwl/fan1 Fan1 - M: 39075940, gap: -6, tsf: 645, ssf: 1230, rpm: 1224
d15/debugstate/kwl/fan2 Fan2 - M: 39075940, gap: 53, tsf: 226, ssf: 1360, rpm: 1413
d15/debugstate/kwl/fan1 Fan1 - M: 40075940, gap: -3, tsf: 645, ssf: 1230, rpm: 1227
d15/debugstate/kwl/fan2 Fan2 - M: 40075940, gap: 53, tsf: 226, ssf: 1360, rpm: 1413
d15/debugstate/kwl/fan1 Fan1 - M: 41075940, gap: -7, tsf: 645, ssf: 1230, rpm: 1223
d15/debugstate/kwl/fan2 Fan2 - M: 41075940, gap: 49, tsf: 226, ssf: 1360, rpm: 1409
d15/debugstate/kwl/fan1 Fan1 - M: 42075940, gap: -8, tsf: 645, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan2 Fan2 - M: 42075940, gap: 48, tsf: 226, ssf: 1360, rpm: 1408
d15/debugstate/kwl/fan1 Fan1 - M: 44075940, gap: -8, tsf: 645, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan2 Fan2 - M: 44075940, gap: 49, tsf: 226, ssf: 1360, rpm: 1409
d15/debugstate/kwl/fan1 Fan1 - M: 47075940, gap: -4, tsf: 645, ssf: 1230, rpm: 1226
d15/debugstate/kwl/fan2 Fan2 - M: 47075940, gap: 51, tsf: 226, ssf: 1360, rpm: 1411
d15/debugstate/kwl/fan1 Fan1 - M: 51075940, gap: -4, tsf: 645, ssf: 1230, rpm: 1226
d15/debugstate/kwl/fan2 Fan2 - M: 51075940, gap: 54, tsf: 226, ssf: 1360, rpm: 1414
d15/debugstate/kwl/fan1 Fan1 - M: 52075940, gap: -2, tsf: 645, ssf: 1230, rpm: 1228
d15/debugstate/kwl/fan2 Fan2 - M: 52075940, gap: 54, tsf: 226, ssf: 1360, rpm: 1414
d15/debugstate/kwl/fan1 Fan1 - M: 53075940, gap: 366, tsf: 0, ssf: 861, rpm: 1227
d15/debugstate/kwl/fan2 Fan2 - M: 53075940, gap: 460, tsf: 0, ssf: 952, rpm: 1412
d15/debugstate/kwl/fan1 Fan1 - M: 57075940, gap: -68, tsf: 50, ssf: 861, rpm: 793
d15/debugstate/kwl/fan2 Fan2 - M: 57075940, gap: 67, tsf: 32, ssf: 952, rpm: 1019
d15/debugstate/kwl/fan1 Fan1 - M: 59075940, gap: -122, tsf: 50, ssf: 861, rpm: 739
d15/debugstate/kwl/fan2 Fan2 - M: 59075940, gap: 47, tsf: 32, ssf: 952, rpm: 999
d15/debugstate/kwl/fan1 Fan1 - M: 60075940, gap: -405, tsf: 124, ssf: 861, rpm: 456
d15/debugstate/kwl/fan2 Fan2 - M: 60075940, gap: 82, tsf: 22, ssf: 952, rpm: 1034
d15/debugstate/kwl/fan1 Fan1 - M: 62075940, gap: -442, tsf: 124, ssf: 861, rpm: 419
d15/debugstate/kwl/fan2 Fan2 - M: 62075940, gap: 84, tsf: 22, ssf: 952, rpm: 1036
d15/debugstate/kwl/fan1 Fan1 - M: 63075940, gap: -488, tsf: 181, ssf: 861, rpm: 373
d15/debugstate/kwl/fan2 Fan2 - M: 63075940, gap: 77, tsf: 15, ssf: 952, rpm: 1029
d15/debugstate/kwl/fan1 Fan1 - M: 64075940, gap: -520, tsf: 236, ssf: 861, rpm: 341
d15/debugstate/kwl/fan2 Fan2 - M: 64075940, gap: 66, tsf: 10, ssf: 952, rpm: 1018
d15/debugstate/kwl/fan1 Fan1 - M: 65075940, gap: -544, tsf: 293, ssf: 861, rpm: 317
d15/debugstate/kwl/fan2 Fan2 - M: 65075940, gap: 47, tsf: 7, ssf: 952, rpm: 999
d15/debugstate/kwl/fan1 Fan1 - M: 67075940, gap: -538, tsf: 293, ssf: 861, rpm: 323
d15/debugstate/kwl/fan2 Fan2 - M: 67075940, gap: 44, tsf: 7, ssf: 952, rpm: 996
d15/debugstate/kwl/fan1 Fan1 - M: 68075940, gap: -511, tsf: 341, ssf: 861, rpm: 350
d15/debugstate/kwl/fan2 Fan2 - M: 68075940, gap: 37, tsf: 4, ssf: 952, rpm: 989
d15/debugstate/kwl/fan1 Fan1 - M: 69075940, gap: -463, tsf: 382, ssf: 861, rpm: 398
d15/debugstate/kwl/fan2 Fan2 - M: 69075940, gap: 33, tsf: 1, ssf: 952, rpm: 985
d15/debugstate/kwl/fan1 Fan1 - M: 70075940, gap: -271, tsf: 390, ssf: 861, rpm: 590
d15/debugstate/kwl/fan2 Fan2 - M: 70075940, gap: 3, tsf: 4, ssf: 952, rpm: 955
d15/debugstate/kwl/fan1 Fan1 - M: 72075940, gap: -223, tsf: 390, ssf: 861, rpm: 638
d15/debugstate/kwl/fan2 Fan2 - M: 72075940, gap: 3, tsf: 4, ssf: 952, rpm: 955
d15/debugstate/kwl/fan1 Fan1 - M: 73075940, gap: -184, tsf: 400, ssf: 861, rpm: 677
d15/debugstate/kwl/fan2 Fan2 - M: 73075940, gap: 18, tsf: 1, ssf: 952, rpm: 970
d15/debugstate/kwl/fan1 Fan1 - M: 74075940, gap: -165, tsf: 414, ssf: 861, rpm: 696
d15/debugstate/kwl/fan2 Fan2 - M: 74075940, gap: 23, tsf: 0, ssf: 952, rpm: 975
d15/debugstate/kwl/fan1 Fan1 - M: 75075940, gap: -124, tsf: 423, ssf: 861, rpm: 737
d15/debugstate/kwl/fan2 Fan2 - M: 75075940, gap: -1, tsf: 2, ssf: 952, rpm: 951
d15/debugstate/kwl/fan1 Fan1 - M: 77075940, gap: -114, tsf: 423, ssf: 861, rpm: 747
d15/debugstate/kwl/fan2 Fan2 - M: 77075940, gap: -3, tsf: 2, ssf: 952, rpm: 949
d15/debugstate/kwl/fan1 Fan1 - M: 78075940, gap: -103, tsf: 431, ssf: 861, rpm: 758
d15/debugstate/kwl/fan2 Fan2 - M: 78075940, gap: -3, tsf: 3, ssf: 952, rpm: 949
d15/debugstate/kwl/fan1 Fan1 - M: 79075940, gap: -92, tsf: 439, ssf: 861, rpm: 769
d15/debugstate/kwl/fan2 Fan2 - M: 79075940, gap: -1, tsf: 2, ssf: 952, rpm: 951
d15/debugstate/kwl/fan1 Fan1 - M: 80075940, gap: -62, tsf: 442, ssf: 861, rpm: 799
d15/debugstate/kwl/fan2 Fan2 - M: 80075940, gap: -1, tsf: 2, ssf: 952, rpm: 951
d15/debugstate/kwl/fan1 Fan1 - M: 82075940, gap: -57, tsf: 442, ssf: 861, rpm: 804
